currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,seriousCount,updateTime
188,84739,1827,79906,4645,103,2020/6/15
123,84672,1808,79904,4645,98,2020/6/14
117,84662,1803,79900,4645,104,2020/6/13
119,84652,1797,79888,4645,129,2020/6/12
113,84641,1786,79883,4645,155,2020/6/11
117,84638,1783,79876,4645,174,2020/6/10
125,84635,1780,79865,4645,201,2020/6/9
128,84630,1776,79857,4645,236,2020/6/8
128,84624,1771,79851,4645,257,2020/6/7
124,84617,1768,79848,4645,297,2020/6/6
128,84609,1763,79836,4645,326,2020/6/5
130,84602,1762,79827,4645,357,2020/6/4
132,84603,1761,79826,4645,371,2020/6/3
126,84593,1756,79822,4645,397,2020/6/2
117,84572,1740,79810,4645,389,2020/6/1
119,84569,1738,79805,4645,396,2020/5/31
116,84561,1734,79800,4645,409,2020/5/30
111,84547,1734,79791,4645,413,2020/5/29
120,84545,1732,79780,4645,404,2020/5/28
126,84543,1731,79772,4645,403,2020/5/27
129,84536,1724,79762,4645,396,2020/5/26
131,84525,1713,79749,4645,371,2020/5/25
137,84522,1711,79740,4645,370,2020/5/24
141,84522,1711,79736,4645,365,2020/5/23
139,84520,1711,79736,4645,365,2020/5/22
145,84503,1707,79713,4645,389,2020/5/20
144,84494,1704,79705,4645,448,2020/5/19
152,84487,1700,79690,4645,515,2020/5/18
165,84478,1698,79669,4644,561,2020/5/17
167,84471,1692,79660,4644,619,2020/5/16
186,84465,1692,79635,4644,712,2020/5/15
200,84461,1692,79617,4644,750,2020/5/14
227,84451,1691,79580,4644,760,2020/5/13
267,84450,1690,79539,4644,780,2020/5/12
282,84435,1683,79510,4643,794,2020/5/11
356,84416,1681,79417,4643,836,2020/5/10
363,84416,1681,79410,4643,836,2020/5/9
480,84414,1680,79291,4643,880,2020/5/8
525,84407,1678,79239,4643,903,2020/5/7
580,84404,1676,79181,4643,947,2020/5/6
717,84403,1675,79043,4643,962,2020/5/5
741,84400,1675,79016,4643,962,2020/5/4
838,84391,1671,78910,4643,981,2020/5/3
853,84387,1670,78891,4643,981,2020/5/2
915,84373,1664,78815,4643,998,2020/5/1
960,84369,1660,78766,4643,993,2020/4/30
1014,84367,1639,78710,4643,997,2020/4/29
1102,84341,1636,78596,4643,974,2020/4/28
1227,84338,1634,78469,4642,1000,2020/4/27
1286,84330,1629,78402,4642,983,2020/4/26
1383,84313,1618,78288,4642,979,2020/4/25
1473,84305,1616,78190,4642,984,2020/4/24
1557,84294,1610,78095,4642,991,2020/4/23
1620,84278,1587,78016,4642,992,2020/4/22
1649,84239,1583,77948,4642,990,2020/4/21
1704,84225,1575,77879,4642,999,2020/4/20
1751,84185,1566,77792,4642,1017,2020/4/19
1796,84156,1549,77718,4642,1038,2020/4/18
1891,83799,1534,78556,3352,1032,2020/4/17
1965,83752,1500,78435,3352,1023,2020/4/16
2025,83700,1464,78324,3351,1005,2020/4/15
2108,83607,1378,78148,3351,1064,2020/4/14
2109,83523,1280,78065,3349,1086,2020/4/13
2075,83400,1183,77976,3349,1092,2020/4/12
2096,83324,1141,77882,3346,1097,2020/4/11
2174,83264,1103,77746,3344,1104,2020/4/10
2220,83189,1042,77627,3342,1095,2020/4/9
2288,83095,983,77467,3340,1033,2020/4/8
2332,83039,951,77367,3340,1047,2020/4/7
2371,82966,913,77257,3338,1024,2020/4/6
2568,82899,888,76996,3335,1030,2020/4/5
2716,82857,870,76810,3331,1027,2020/4/4
2835,82772,841,76610,3327,1422,2020/4/3
2932,82691,806,76438,3321,1367,2020/4/2
3048,82601,771,76239,3314,528,2020/4/1
3236,82505,723,75956,3313,633,2020/3/31
3509,82421,693,75606,3306,742,2020/3/30
3857,82282,649,75124,3301,921,2020/3/29
4123,82164,595,74743,3298,1034,2020/3/28
4537,82034,541,74204,3293,1235,2020/3/27
4813,81896,474,73796,3287,1399,2020/3/26
5220,81806,427,73303,3283,1573,2020/3/25
5567,81691,376,72848,3276,1749,2020/3/24
5909,81566,317,72390,3267,1845,2020/3/23
6311,81457,269,71885,3261,1963,2020/3/22
6838,81385,228,71292,3255,2136,2020/3/21
6764,81301,228,71284,3253,2136,2020/3/20
8183,81202,155,69777,3242,2622,2020/3/19
9084,81135,143,68820,3231,2830,2020/3/18
9951,81099,123,67930,3218,3032,2020/3/17
10821,81062,114,67037,3204,3226,2020/3/16
12160,81029,95,65675,3194,3610,2020/3/15
13600,81007,88,64226,3181,4020,2020/3/14
14884,80981,85,62924,3173,4257,2020/3/13
16139,80969,86,61668,3162,4492,2020/3/12
17595,80932,72,60197,3140,4794,2020/3/11
18957,80905,421,58824,3124,5111,2020/3/10
20355,80868,458,57412,3101,5264,2020/3/9
22184,80815,502,55558,3073,5489,2020/3/8
23721,80734,482,53968,3045,5737,2020/3/7
25260,80581,522,52305,3016,5952,2020/3/6
27430,80424,520,50010,2984,6416,2020/3/5
29921,80303,587,47434,2948,6806,2020/3/4
32415,80175,715,44845,2915,7110,2020/3/3
34937,79972,851,42162,2873,7365,2020/3/2
37248,79394,1418,39308,2838,7664,2020/3/1
37464,79389,1418,39087,2838,7664,2020/2/29
42968,78631,2358,32916,2747,8346,2020/2/28
45388,78195,2491,30089,2718,8752,2020/2/27
47462,77785,2824,27657,2666,9126,2020/2/26
49667,77270,3434,25007,2596,9915,2020/2/25
51416,77050,4148,23189,2445,10968,2020/2/24
52971,76396,5365,21077,2348,11477,2020/2/23
54633,75576,5206,18704,2239,11633,2020/2/22
55835,74682,4922,16724,2123,11864,2020/2/21
57322,74289,5248,14958,2009,11977,2020/2/20
58033,74225,6242,14188,2004,11741,2020/2/19
57593,70645,7264,11280,1772,10644,2020/2/18
58009,70533,8228,10757,1767,11272,2020/2/17
57416,68584,8228,9502,1666,11272,2020/2/16
55477,63951,10109,7092,1382,10204,2020/2/15
52324,59907,13435,6215,1368,8030,2020/2/14
38583,44765,16067,5066,1116,8204,2020/2/13
0,42747,21675,4301,1017,7333,2020/2/12
0,42359,23589,3919,1012,6484,2020/2/11
0,29837,28942,3042,905,6188,2020/2/10
0,34673,27657,2600,724,6101,2020/2/9
0,34130,26359,2000,718,4821,2020/2/8
0,30591,24702,1557,633,3859,2020/2/7
0,24439,23260,1019,493,3219,2020/2/6
0,20537,23214,718,426,2788,2020/2/5
0,19690,21558,623,425,2296,2020/2/4
0,14490,19544,434,304,0,2020/2/3
0,13858,17988,322,304,0,2020/2/2
0,9821,15238,214,213,0,2020/2/1
0,8150,12167,135,171,0,2020/1/31
0,6095,9239,120,133,0,2020/1/30
0,4631,6973,73,106,0,2020/1/29
0,2858,5794,56,82,0,2020/1/28
0,2079,2692,49,56,0,2020/1/27
0,1409,2032,39,42,0,2020/1/26
0,902,1076,36,26,0,2020/1/25
0,887,1075,35,26,0,2020/1/24
